8.0803e-05,0.99838,0.04023,0.93262
7.8874e-05,0.99833,0.039927,0.93183
7.7006e-05,0.99827,0.039629,0.93104
7.5196e-05,0.99822,0.039334,0.93026
7.3441e-05,0.99816,0.039045,0.92946
7.1741e-05,0.9981,0.038759,0.92867
7.0092e-05,0.99804,0.038478,0.92788
6.8494e-05,0.99797,0.0382,0.92708
6.6943e-05,0.99791,0.037927,0.92628
6.5433e-05,0.9979,0.037657,0.92556
6.3973e-05,0.99783,0.037391,0.92475
6.2556e-05,0.99776,0.037129,0.92395
6.1181e-05,0.9977,0.036871,0.92315
5.9845e-05,0.99763,0.036616,0.92234
5.8547e-05,0.99755,0.036364,0.92153
5.7287e-05,0.99748,0.036116,0.92072
5.6063e-05,0.99741,0.035871,0.91991
5.4872e-05,0.99733,0.03563,0.9191
5.3716e-05,0.99725,0.035392,0.91828
5.2591e-05,0.99717,0.035157,0.91747
5.1497e-05,0.99709,0.034925,0.91665
5.0434e-05,0.99705,0.034696,0.91583
4.9399e-05,0.99696,0.03447,0.91501
4.8392e-05,0.99688,0.034247,0.91419
4.7412e-05,0.99679,0.034026,0.91336
4.6459e-05,0.9967,0.033809,0.91254
4.553e-05,0.99661,0.033594,0.91171
4.4627e-05,0.99652,0.033382,0.91088
4.3746e-05,0.99642,0.033173,0.91005
4.2889e-05,0.99633,0.032966,0.90922
4.2054e-05,0.99626,0.032762,0.90839
4.124e-05,0.99617,0.03256,0.90756
4.0447e-05,0.99606,0.032361,0.90672
3.9675e-05,0.99596,0.032164,0.90589
3.8921e-05,0.99586,0.03197,0.90505
3.8187e-05,0.99575,0.031778,0.90421
3.7471e-05,0.99564,0.031588,0.90337
3.6772e-05,0.99557,0.031401,0.90253
3.6091e-05,0.99546,0.031215,0.90169
3.5426e-05,0.99535,0.031032,0.90085
3.4778e-05,0.99524,0.030851,0.9
3.4145e-05,0.99512,0.030672,0.89916
3.3527e-05,0.995,0.030495,0.89831
3.2924e-05,0.99488,0.03032,0.89746
3.2336e-05,0.99475,0.030147,0.89661
3.1761e-05,0.99463,0.029976,0.89577
3.12e-05,0.9945,0.029807,0.89492
3.0652e-05,0.99437,0.02964,0.89406
3.0117e-05,0.99427,0.029475,0.89321
2.9594e-05,0.99414,0.029311,0.89236
2.9083e-05,0.994,0.029149,0.89151
2.8583e-05,0.99386,0.02899,0.89065
2.8095e-05,0.99372,0.028831,0.88979
2.7618e-05,0.99358,0.028675,0.88894
2.7152e-05,0.99343,0.02852,0.88808
2.6696e-05,0.99328,0.028367,0.88722
2.625e-05,0.99318,0.028216,0.88636
2.5814e-05,0.99303,0.028066,0.8855
2.5388e-05,0.99287,0.027917,0.88464
2.4971e-05,0.99272,0.027771,0.88378
2.4563e-05,0.99256,0.027625,0.88292
2.4163e-05,0.9924,0.027482,0.88206
2.3773e-05,0.99224,0.027339,0.8812
2.339e-05,0.99207,0.027199,0.88033
2.3016e-05,0.9919,0.027059,0.87947
2.265e-05,0.99173,0.026921,0.8786
2.2291e-05,0.99159,0.026785,0.87774
2.194e-05,0.99141,0.02665,0.87687
2.1597e-05,0.99123,0.026516,0.87601
2.126e-05,0.99105,0.026383,0.87514
2.093e-05,0.99087,0.026252,0.87427
2.0607e-05,0.99068,0.026122,0.8734
2.0291e-05,0.9905,0.025994,0.8726
1.9981e-05,0.9903,0.025867,0.87173
1.9677e-05,0.99015,0.02574,0.87086
1.938e-05,0.98996,0.025616,0.87
1.9088e-05,0.98976,0.025492,0.86913
1.8802e-05,0.98956,0.025369,0.86826
1.8522e-05,0.98935,0.025248,0.86739
1.8248e-05,0.98915,0.025128,0.86652
1.7978e-05,0.98894,0.025009,0.86565
1.7714e-05,0.98872,0.024891,0.86477
1.7456e-05,0.98851,0.024774,0.8639
1.7202e-05,0.98829,0.024658,0.86303
1.6953e-05,0.98807,0.024544,0.86216
1.6709e-05,0.98788,0.02443,0.86129
1.6469e-05,0.98765,0.024318,0.86041
1.6234e-05,0.98742,0.024206,0.85954
1.6003e-05,0.98719,0.024096,0.85867
1.5777e-05,0.98695,0.023986,0.85779
1.5555e-05,0.98671,0.023878,0.85692
1.5337e-05,0.98647,0.02377,0.85605
1.5124e-05,0.98627,0.023664,0.85517
1.4914e-05,0.98602,0.023558,0.8543
1.4708e-05,0.98577,0.023453,0.85343
1.4505e-05,0.98552,0.023349,0.85255
1.4307e-05,0.98526,0.023247,0.85168
1.4112e-05,0.98501,0.023145,0.8508
1.392e-05,0.98474,0.023044,0.84993
